1.1143,1.0854,1.0984,1.115,1.1182,1.119,1.087,1.0532,1.1096,-0.0,1.0766,1.0232
0.6477,-0.1053,-0.2545,0.0455,0.1426,0.0633,0.2891,-0.1331,0.1182,0.2885,-0.3957,-0.351
0.0625,0.7671,0.161,0.2742,0.0565,0.2207,-0.1427,0.0198,-0.173,0.2813,-0.2738,0.2233
0.1115,-0.3024,0.7135,-0.4203,0.1409,0.1552,-0.1605,-0.0681,-0.1477,0.3032,-0.1377,0.0584
-0.0396,-0.2978,0.0496,0.5687,-0.0127,-0.0109,-0.5966,0.1978,0.1961,0.2897,0.0351,-0.2549
-0.2379,-0.1465,-0.3073,0.0607,0.661,-0.1956,-0.0497,-0.3614,-0.2328,0.2977,0.0611,0.2627
0.0081,-0.2391,-0.3337,-0.0899,-0.1241,0.6204,0.0736,0.3047,0.1133,0.2776,0.1035,0.4734
-0.5497,0.009,0.1901,0.1496,0.1332,0.1324,0.5746,0.2276,0.0666,0.2813,-0.042,-0.3696
-0.2203,0.2673,-0.3451,-0.6135,-0.0488,-0.0463,-0.362,0.1141,0.0927,0.2915,-0.0345,-0.3758
0.0619,0.1878,0.1643,-0.0158,-0.0802,-0.068,0.0975,-0.4282,0.6742,0.2836,0.4263,0.1141
-0.2431,-0.1729,-0.0903,0.0789,-0.6709,-0.1548,0.0587,-0.4186,-0.2247,0.299,-0.3062,0.1009
0.2742,0.071,-0.0075,0.0474,-0.1597,-0.0257,0.1048,0.061,-0.5482,0.2877,0.6693,-0.2128
0.1309,0.0003,0.0399,-0.0593,-0.0439,-0.6716,0.1462,0.5362,0.1007,0.2815,-0.0859,0.3451
