-5.1837,9.7155,6.2049
9.2899,-6.4242,-8.5247
9.6935,-5.3730,-8.8493
-6.7416,8.2424,5.8455
-4.7093,8.6399,5.2738
10.2999,-6.5676,-8.0134
-4.7074,9.1197,5.9429
9.5326,-5.5287,-7.7249
-5.0232,7.9103,3.8302
8.4554,-9.4291,-7.9818
-5.5753,7.8474,4.1311
-6.4047,10.7159,4.8474
7.4603,-8.5214,-8.0286
10.5086,-6.1559,-7.0605
9.0458,-6.6432,-7.6914
9.4627,-4.6730,-6.2580
9.8353,-4.9770,-5.7720
8.7610,-8.1400,-7.2310
8.8366,-8.2064,-7.5756
-3.1172,9.0573,5.2290
8.4339,-8.3206,-9.4594
10.0491,-7.0280,-7.6762
10.1613,-5.8082,-8.7267
8.2384,-9.1287,-8.4202
10.0331,-8.4065,-9.3300
7.9420,-7.6431,-8.0216
8.8395,-9.1170,-8.8486
7.5935,-8.5668,-8.7652
-5.4326,8.8447,6.0746
8.8047,-4.8271,-4.6642
9.6580,-7.5391,-8.0431
8.3521,-8.3812,-8.8250
8.5018,-9.0587,-7.0819
-3.7572,10.6310,6.3937
-4.9138,9.5004,2.8691
-2.8262,10.5918,3.2736
7.2049,-5.9204,-6.7271
9.8477,-7.3973,-8.1126
10.3474,-5.6614,-7.1765
-3.5474,9.3355,5.7180
-3.5325,8.3833,5.5863
9.6902,-4.8505,-7.8218
8.1657,-5.5500,-7.4639
-5.3119,9.6900,6.2633
9.2720,-4.1744,-6.8557
-5.0751,8.7712,4.6816
5.4304,-9.1963,-10.0313
11.3840,-5.3486,-9.4311
8.8405,-10.6743,-7.1918
10.0787,-6.0026,-7.3525
